iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.03317093104124069
1000,-1.0,2.0,12,0.018681060522794724
1500,-1.0,2.0,8,0.009636951610445976
2000,-1.0,2.0,9,0.0036443888675421476
2500,-1.0,2.0,8,0.008183492347598076
3000,-1.0,2.0,8,0.0024122879840433598
3500,-0.5,2.0,8,0.011823734268546104
4000,0.0,2.25,8,0.007934982888400555
4500,-0.25,2.0,8,0.004544897470623255
5000,-0.25,2.0,8,0.0053937677294015884
5500,-0.12,2.0,8,0.003755937097594142
6000,-0.12,2.0,8,0.00482330285012722
6500,-0.12,2.0,8,0.005248976405709982
7000,-0.12,2.0,8,0.004577401094138622
7500,-0.12,2.0,8,0.00743207149207592
8000,-0.12,2.12,8,0.007272550370544195
8500,-0.12,2.12,8,0.003018036251887679
9000,0.25,2.25,8,0.005645983852446079
9500,0.0,2.0,8,0.003108449513092637
10000,0.12,2.25,8,0.0018865471938624978
10500,-0.12,2.0,8,0.0020443666726350784
11000,0.12,2.12,8,0.0049525159411132336
11500,0.0,2.0,8,0.0017500227550044656
12000,-0.2,2.3,10,0.004675945267081261
12500,-0.12,2.0,8,0.005850648507475853
13000,0.0,2.25,8,0.002940327860414982
13500,0.12,2.12,8,0.009812674485147
14000,0.12,2.12,8,0.003183776279911399
14500,0.75,2.88,8,0.008882829919457436
15000,0.5,2.5,8,0.002007467905059457
15500,0.12,2.25,8,0.0015372412744909525
16000,0.0,2.0,8,0.0035390001721680164
16500,0.0,2.0,8,0.005388758145272732
17000,0.25,2.25,8,0.004294495563954115
17500,0.38,2.38,8,0.004408607259392738
18000,0.25,2.62,8,0.004211064428091049
18500,0.25,2.25,8,0.0011332056019455194
19000,0.25,2.38,8,0.0056303576566278934
19500,0.25,2.38,8,0.0006683586398139596
20000,0.25,2.38,8,0.005725677125155926
20500,0.12,2.12,8,0.009342636913061142
21000,0.25,2.25,8,0.004042491782456636
21500,0.25,2.25,8,0.0016542645171284676
22000,0.25,2.25,8,0.0035867588594555855
22500,0.62,2.62,8,0.0017213914543390274
23000,0.0,2.12,8,0.003734951140359044
23500,0.0,2.12,8,0.003400876186788082
24000,0.44,2.67,9,0.011985878460109234
24500,0.38,2.38,8,0.004781145136803389
25000,0.25,2.25,8,0.002006751485168934
25500,0.38,2.38,8,0.002048466121777892
26000,1.08,3.5,12,0.01065452117472887
26500,0.22,2.56,9,0.005436150822788477
27000,0.75,2.75,8,0.0028244927525520325
27500,0.25,2.25,8,0.006266770884394646
28000,1.3,3.6,10,0.0032955685164779425
28500,0.62,2.88,8,0.005208135582506657
29000,0.75,3.0,8,0.005792468786239624
29500,1.2,3.6,10,0.0032769404351711273
30000,0.89,3.33,9,0.012204144150018692
30500,1.38,3.75,8,0.006333222612738609
31000,1.11,3.33,9,0.004007464274764061
31500,2.0,4.5,10,0.010495783761143684
32000,1.38,3.62,8,0.005089478101581335
32500,0.67,2.89,9,0.004963191691786051
33000,0.38,2.38,8,0.010331207886338234
33500,1.5,4.08,12,0.004596109502017498
34000,1.64,4.09,11,0.013375730253756046
34500,1.73,4.27,11,0.006483158096671104
35000,1.5,3.8,10,0.012410380877554417
35500,2.12,5.12,8,0.005157100968062878
36000,1.6,4.0,10,0.003523122752085328
36500,4.62,7.62,8,0.011064702644944191
37000,3.0,6.0,8,0.011509450152516365
37500,4.25,7.25,8,0.009993715211749077
38000,4.0,7.0,8,0.004139111377298832
38500,5.5,8.5,8,0.027179943397641182
39000,4.38,7.38,8,0.012718090787529945
39500,5.25,8.25,8,0.013730572536587715
40000,3.5,6.5,8,0.031288355588912964
40500,6.22,9.22,9,0.003806917928159237
41000,4.75,7.75,8,0.004156195558607578
41500,7.38,10.38,8,0.005600824020802975
42000,8.0,11.0,8,0.011909762397408485
42500,5.5,8.5,8,0.019383622333407402
43000,8.0,11.0,8,0.024429675191640854
43500,7.38,10.38,8,0.012925444170832634
44000,8.25,11.25,8,0.018738802522420883
44500,7.25,10.25,8,0.041371285915374756
45000,4.75,7.75,8,0.008087524212896824
45500,9.25,12.25,8,0.018624497577548027
46000,6.25,9.25,8,0.00617617554962635
46500,6.88,9.88,8,0.007173714227974415
47000,7.5,10.5,8,0.005584779195487499
47500,8.5,11.5,8,0.013635815121233463
48000,6.75,9.75,8,0.006991387810558081
48500,4.75,7.75,8,0.006729665212333202
49000,7.5,10.5,8,0.008468829095363617
49500,4.12,7.12,8,0.007410971447825432
50000,9.12,12.12,8,0.014918748289346695
50500,7.5,10.5,8,0.007189629599452019
51000,6.75,9.75,8,0.006803127471357584
51500,11.12,14.12,8,0.011151498183608055
52000,9.25,12.25,8,0.017067601904273033
52500,9.25,12.25,8,0.006176686845719814
53000,9.88,12.88,8,0.016966376453638077
53500,8.38,11.38,8,0.028310690075159073
54000,7.1,9.7,10,0.005643492564558983
54500,12.75,15.75,8,0.005480355583131313
55000,10.0,13.0,8,0.006663581356406212
55500,5.88,8.88,8,0.004622610751539469
56000,11.12,14.12,8,0.010067072696983814
56500,12.38,15.38,8,0.009469108656048775
57000,8.38,11.38,8,0.004993325099349022
57500,8.0,11.0,8,0.005052319262176752
58000,6.12,9.12,8,0.008649409748613834
58500,7.38,10.38,8,0.00600791722536087
59000,10.25,13.25,8,0.027160154655575752
59500,7.38,10.38,8,0.015984803438186646
60000,14.38,17.38,8,0.0064492905512452126
60500,12.38,15.38,8,0.021435927599668503
61000,9.12,12.12,8,0.007132470142096281
61500,11.5,14.5,8,0.011322958394885063
62000,11.0,14.0,8,0.021321425214409828
62500,9.25,12.25,8,0.009703615680336952
63000,10.5,13.5,8,0.007691873237490654
63500,9.38,12.38,8,0.005597770679742098
64000,7.75,10.75,8,0.012994244694709778
64500,10.12,13.12,8,0.009730045683681965
65000,11.62,14.62,8,0.017722755670547485
65500,15.0,18.0,8,0.023746808990836143
66000,13.88,16.88,8,0.009268419817090034
66500,12.0,15.0,8,0.010891832411289215
67000,13.25,16.25,8,0.009134557098150253
67500,17.5,20.5,8,0.012475612573325634
68000,13.25,16.25,8,0.0070602186024188995
68500,15.0,18.0,8,0.009569777175784111
69000,17.62,20.62,8,0.014140726998448372
69500,11.0,14.0,8,0.02214781939983368
70000,9.62,12.62,8,0.006444672122597694
70500,11.62,14.62,8,0.005274458322674036
71000,9.5,12.5,8,0.0063915313221514225
71500,14.88,17.88,8,0.030294498428702354
72000,12.75,15.75,8,0.034679096192121506
72500,13.0,16.0,8,0.01707017421722412
73000,14.38,17.38,8,0.004431621171534061
73500,10.75,13.75,8,0.01665925607085228
74000,18.75,21.75,8,0.01601286232471466
74500,18.38,21.38,8,0.03790692239999771
75000,13.62,16.62,8,0.011621545068919659
75500,14.62,17.62,8,0.028562266379594803
76000,13.75,16.75,8,0.03134192153811455
76500,13.88,16.88,8,0.011521543376147747
77000,15.12,18.12,8,0.027184998616576195
77500,13.88,16.88,8,0.03342027589678764
78000,15.62,18.62,8,0.00603403290733695
78500,15.5,18.5,8,0.012957824394106865
79000,15.25,18.25,8,0.008223215118050575
79500,14.12,17.12,8,0.016483059152960777
80000,13.5,16.5,8,0.0167009886354208
80500,15.88,18.88,8,0.01281821820884943
81000,9.75,12.75,8,0.012105750851333141
81500,11.0,14.0,8,0.013588172383606434
82000,17.56,20.56,9,0.012995176017284393
82500,16.0,19.0,8,0.035833507776260376
83000,15.75,18.75,8,0.016247699037194252
83500,13.56,16.11,9,0.013467615470290184
84000,8.0,11.0,8,0.011404477059841156
84500,11.75,14.75,8,0.03765955567359924
85000,14.88,17.5,8,0.006028055213391781
85500,12.38,15.38,8,0.007642754819244146
86000,15.91,18.55,11,0.01410001702606678
86500,21.38,24.38,8,0.007736783474683762
87000,14.12,17.12,8,0.04225088283419609
87500,13.0,16.0,8,0.007069878280162811
88000,20.75,23.75,8,0.019722627475857735
88500,9.88,12.88,8,0.023015007376670837
89000,17.5,20.5,8,0.005310100503265858
89500,16.5,19.5,8,0.010575761087238789
90000,16.38,19.38,8,0.01455826498568058
90500,18.75,21.75,8,0.032025471329689026
91000,19.5,22.5,8,0.013625315390527248
91500,15.62,18.62,8,0.014654939994215965
92000,15.75,18.75,8,0.016976267099380493
92500,16.62,19.62,8,0.011689038947224617
93000,13.5,16.5,8,0.008211532607674599
93500,12.0,15.0,8,0.013013940304517746
94000,15.25,18.25,8,0.012021325528621674
94500,18.12,21.12,8,0.00805901549756527
95000,12.75,15.75,8,0.0068903109058737755
95500,19.75,22.75,8,0.014368787407875061
96000,9.88,12.88,8,0.026042522862553596
96500,17.0,20.0,8,0.013754818588495255
97000,12.75,15.75,8,0.009378697723150253
97500,11.75,14.75,8,0.007576989475637674
98000,16.25,19.25,8,0.04718034341931343
98500,12.18,14.73,11,0.011139364913105965
99000,13.38,16.38,8,0.012942282482981682
99500,18.75,21.75,8,0.009433861821889877
100000,12.62,15.62,8,0.010328061878681183
100500,9.5,12.5,8,0.007786897011101246
101000,20.88,23.88,8,0.02952129766345024
101500,15.4,18.1,10,0.0065092225559055805
102000,21.5,24.5,8,0.016886766999959946
102500,13.0,16.0,8,0.02821888029575348
103000,14.25,17.25,8,0.010700352489948273
103500,9.12,12.12,8,0.032389260828495026
104000,12.5,15.5,8,0.00907355360686779
104500,9.38,12.38,8,0.007374490145593882
105000,15.75,18.75,8,0.06861928105354309
105500,14.25,17.25,8,0.012840816751122475
106000,16.88,19.88,8,0.011155545711517334
106500,19.5,22.5,8,0.008084443397819996
107000,20.62,23.62,8,0.015032335184514523
107500,14.12,17.12,8,0.007852395065128803
108000,14.33,17.0,9,0.015085805207490921
108500,20.75,23.75,8,0.01141202449798584
109000,11.75,14.75,8,0.008835929445922375
109500,16.38,19.38,8,0.0067484513856470585
110000,18.88,21.88,8,0.017613887786865234
110500,20.88,23.88,8,0.018031364306807518
111000,11.25,14.25,8,0.005620603449642658
111500,18.25,21.25,8,0.006653964519500732
112000,15.0,17.6,10,0.008161275647580624
112500,18.5,21.5,8,0.008825555443763733
113000,16.88,19.88,8,0.018762266263365746
113500,21.62,24.62,8,0.010065875947475433
114000,11.38,14.38,8,0.02219114452600479
114500,17.75,20.75,8,0.007630034349858761
115000,11.5,14.5,8,0.004356083460152149
115500,17.12,20.12,8,0.012636763975024223
116000,15.62,18.62,8,0.008338812738656998
116500,12.88,15.88,8,0.013030899688601494
117000,17.88,20.88,8,0.007263753563165665
117500,15.25,18.25,8,0.008852934464812279
118000,14.25,17.25,8,0.008659631945192814
118500,20.5,23.5,8,0.009436313062906265
119000,7.5,10.5,8,0.007105105556547642
119500,12.12,15.12,8,0.011092404834926128
120000,19.88,22.88,8,0.021347535774111748
120500,17.38,20.38,8,0.005946001037955284
121000,17.5,20.5,8,0.008151140064001083
121500,20.25,23.25,8,0.006345018744468689
122000,16.75,19.75,8,0.03723008185625076
122500,15.5,18.5,8,0.013981622643768787
123000,19.62,22.62,8,0.02508159540593624
123500,20.88,23.88,8,0.009427467361092567
124000,12.38,15.38,8,0.03846467658877373
124500,16.62,19.62,8,0.008735081180930138
125000,17.38,20.38,8,0.017831342294812202
125500,13.62,16.62,8,0.007263191509991884
126000,20.12,23.12,8,0.027596037834882736
126500,11.0,14.0,8,0.010693350806832314
127000,15.88,18.88,8,0.004979475401341915
127500,10.75,13.75,8,0.005679002963006496
128000,17.25,20.25,8,0.01494183111935854
128500,14.12,17.12,8,0.006627271883189678
129000,16.12,19.12,8,0.01897207461297512
129500,13.62,16.62,8,0.013863501138985157
130000,17.75,20.75,8,0.009028730913996696
130500,17.38,20.38,8,0.01022826787084341
131000,21.12,24.12,8,0.007296116091310978
131500,16.75,19.75,8,0.013799739070236683
132000,18.25,21.25,8,0.012993376702070236
132500,16.38,19.38,8,0.009794682264328003
133000,19.12,22.12,8,0.005975351668894291
133500,17.5,20.5,8,0.007920650765299797
134000,15.12,18.12,8,0.03468092530965805
134500,15.75,18.75,8,0.007645024918019772
135000,18.62,21.62,8,0.007428782060742378
135500,22.75,25.75,8,0.019699672237038612
136000,22.0,25.0,8,0.007381436415016651
136500,21.25,24.25,8,0.01080922968685627
137000,18.75,21.75,8,0.03355467692017555
137500,20.62,23.62,8,0.007882026955485344
138000,18.38,21.38,8,0.0068612052127718925
138500,15.5,18.5,8,0.010944225825369358
139000,19.25,22.25,8,0.025730177760124207
139500,8.62,11.62,8,0.018791088834404945
140000,16.62,19.62,8,0.017951831221580505
140500,21.88,24.88,8,0.014230821281671524
141000,17.75,20.75,8,0.004058468155562878
141500,20.0,23.0,8,0.020678043365478516
142000,14.7,17.4,10,0.008408141322433949
142500,12.75,15.75,8,0.005168183706700802
143000,21.5,24.5,8,0.006423472426831722
143500,20.5,23.5,8,0.010119443759322166
144000,18.12,21.12,8,0.01333601213991642
144500,20.25,23.25,8,0.009503333829343319
145000,20.0,23.0,8,0.01815822720527649
145500,21.25,24.25,8,0.006037157028913498
146000,14.0,17.0,8,0.013472849503159523
146500,18.25,21.25,8,0.00955818872898817
147000,19.62,22.62,8,0.022203680127859116
147500,10.62,13.62,8,0.015570650808513165
148000,20.38,23.38,8,0.007243896834552288
148500,23.0,26.0,8,0.01707223802804947
149000,20.62,23.62,8,0.01912720873951912
149500,20.88,23.88,8,0.007879171520471573
150000,17.25,20.25,8,0.00813215784728527
150500,18.5,21.5,8,0.01850849762558937
151000,18.62,21.62,8,0.007767114322632551
151500,19.62,22.62,8,0.03155232220888138
152000,12.62,15.62,8,0.011404817923903465
152500,18.62,21.62,8,0.006094468757510185
153000,16.25,19.25,8,0.007869270630180836
153500,23.25,26.25,8,0.007522200234234333
154000,13.88,16.88,8,0.020517313852906227
154500,18.38,21.38,8,0.010020999237895012
155000,22.62,25.62,8,0.006027349270880222
155500,16.5,19.5,8,0.008038418367505074
156000,16.5,19.5,8,0.011708835139870644
156500,20.38,23.38,8,0.010651906952261925
157000,15.75,18.75,8,0.01988327130675316
157500,18.88,21.88,8,0.025444863364100456
158000,15.0,18.0,8,0.0073245977982878685
158500,22.5,25.5,8,0.009122231975197792
159000,18.88,21.88,8,0.011175589635968208
159500,19.38,22.38,8,0.011860022321343422
160000,18.62,21.62,8,0.008082849904894829
160500,18.12,21.12,8,0.0067325010895729065
161000,17.0,20.0,8,0.013845661655068398
161500,19.75,22.75,8,0.006842040456831455
162000,16.38,19.38,8,0.013242974877357483
162500,19.25,22.25,8,0.014378686435520649
163000,17.75,20.75,8,0.026699019595980644
163500,15.62,18.62,8,0.007577375043183565
164000,16.75,19.75,8,0.01329103484749794
164500,15.38,18.38,8,0.010734925046563148
165000,21.75,24.75,8,0.010470634326338768
165500,24.5,27.5,8,0.004105999134480953
166000,16.75,19.75,8,0.009461996145546436
166500,16.5,19.5,8,0.010719812475144863
167000,17.38,20.38,8,0.006261715665459633
167500,17.25,20.25,8,0.009425671771168709
168000,18.88,21.88,8,0.015219846740365028
168500,19.12,22.12,8,0.006664196960628033
169000,19.12,22.12,8,0.005682238377630711
169500,11.38,14.38,8,0.0073007033206522465
170000,17.0,20.0,8,0.0058313957415521145
170500,20.38,23.38,8,0.011962189339101315
171000,20.25,23.25,8,0.0052231913432478905
171500,18.25,21.25,8,0.004713411908596754
172000,10.0,13.0,8,0.0061665186658501625
172500,19.0,22.0,8,0.013835037127137184
173000,23.25,26.25,8,0.019429795444011688
173500,17.5,20.5,8,0.0165918730199337
174000,19.12,22.12,8,0.029136549681425095
174500,15.38,18.38,8,0.004994695074856281
175000,16.5,19.5,8,0.02438606321811676
175500,14.88,17.88,8,0.00868747103959322
176000,18.0,21.0,8,0.008290867321193218
176500,18.0,21.0,8,0.03208315372467041
177000,19.38,22.38,8,0.02181660383939743
177500,18.5,21.5,8,0.006876819767057896
178000,14.0,17.0,8,0.01147166732698679
178500,14.88,17.88,8,0.008566334843635559
179000,18.88,21.88,8,0.010854500345885754
179500,19.62,22.62,8,0.013811791315674782
180000,18.25,21.25,8,0.005017329938709736
180500,15.38,18.38,8,0.02784973569214344
181000,20.25,23.25,8,0.014252709224820137
181500,17.62,20.62,8,0.015507202595472336
182000,16.5,19.5,8,0.0075011225417256355
182500,17.12,20.12,8,0.007910140790045261
183000,19.5,22.5,8,0.009426435455679893
183500,13.0,16.0,8,0.016509898006916046
184000,18.5,21.5,8,0.00421178201213479
184500,23.62,26.62,8,0.010035614483058453
185000,23.25,26.25,8,0.012042604386806488
185500,22.62,25.62,8,0.012717781588435173
186000,21.88,24.88,8,0.010176438838243484
186500,18.62,21.62,8,0.021069074049592018
187000,19.12,22.12,8,0.012934847734868526
187500,19.75,22.75,8,0.007489205803722143
188000,22.88,25.88,8,0.014738722704350948
188500,15.38,18.38,8,0.009517272934317589
189000,15.5,18.5,8,0.006230558268725872
189500,20.88,23.88,8,0.007983656600117683
190000,17.75,20.75,8,0.007234878838062286
190500,16.75,19.75,8,0.009710444137454033
191000,25.12,28.12,8,0.006653436925262213
191500,18.88,21.88,8,0.013141341507434845
192000,20.0,23.0,8,0.008295348845422268
192500,23.12,26.12,8,0.022203873842954636
193000,16.62,19.62,8,0.02156461775302887
193500,18.12,21.12,8,0.018458817154169083
194000,21.0,24.0,8,0.012715881690382957
194500,23.62,26.62,8,0.008693352341651917
195000,18.38,21.38,8,0.010392936877906322
195500,22.25,25.25,8,0.020494049414992332
196000,21.5,24.5,8,0.006538664922118187
196500,9.12,12.12,8,0.004533285275101662
197000,21.5,24.5,8,0.006415193434804678
197500,18.75,21.75,8,0.00612657330930233
198000,16.0,19.0,8,0.004781624302268028
198500,15.38,18.38,8,0.013272388838231564
199000,18.62,21.62,8,0.005137450061738491
199500,19.62,22.62,8,0.025959689170122147
200000,22.5,25.5,8,0.008879519999027252
